authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,pubvol,pubno,firstpage,lastpage,created,modified,publication_type,comments,project_name,project_ref_no
"W. Kiessling","U. Merkel",,17691,Y.,Li,S.,Kershaw,,2003,"Reef Reconstruction after Extinction Events of the Latest Ordovician in the Yangtze Platform, South China",Facies,48,,269,284,"2006-06-09 00:30:27",20060609003041,"journal article",,,
"W. Kiessling","U. Merkel",,17811,T.,Tolmacheva,P.,Fedorov,"E. Egerquist",2003,"Conodonts and brachiopods from the Volkhov Stage (Lower Ordovician) microbial mud mound at Putilovo Quarry, north-western Russia","Bulletin of the Geological Society of Denmark",50,1,63,74,"2006-06-30 01:17:58",20060630011758,"journal article",,,
"W. Kiessling","U. Merkel",,17943,"P. R.",Racheboeuf,R.,Gourvennec,"M. Deynoux, D. Brice",2004,"The Devonian of the Hodh area (Islamic Republic of Mauritania): paleontology and stratigraphy","Journal of Paleontology",78,1,98,110,"2006-07-11 03:11:34",20060711031158,"journal article",,,
"W. Kiessling","U. Merkel",,17945,"J. D.",Loch,"J. F.",Taylor,,2004,"New trilobite taxa from Upper Cambrian microbial reefs in the central Appalachians","Journal of Paleontology",78,3,591,602,"2006-07-11 07:23:47",20060711072347,"journal article",,,
"A. Miller","A. Hendy",,17947,L.E.,Popov,L.E.,Holmer,"J.F. Miller",2002,"Lingulate brachiopods from the Cambrian-Ordovician boundary beds of Utah","Journal of Paleontology",76,2,211,228,"2006-07-11 13:36:08",20060711133618,"journal article",,,
"A. Miller","A. Hendy",,17950,R.E.,Grant,,,,1962,"Trilobite distribution, upper Franconia Formation (Upper Cambrian), southeastern Minnestoa","Journal of Paleontology",36,5,965,998,"2006-07-12 12:28:34",20060712122842,"journal article",,,
"A. Miller","A. Hendy",,17959,F.,Rasetti,,,,1961,"Dresbachian and Franconian trilobites of the Conococheague and Frederick Limestones of the central Appalachians","Journal of Paleontology",35,1,104,124,"2006-07-13 19:26:08",20060713192701,"journal article",,,
"A. Miller","A. Hendy","A. Hendy",17982,A.W.A.,Rushton,L.R.M.,Cocks,"R.A. Fortey",2002,"Upper Cambrian trilobites and brachiopods from Severnaya Zemlya, Arctic Russia, and their implications for correlation and biogeography","Geological Magazine",139,3,281,290,"2006-07-15 08:37:34",20060715083755,"journal article",,,
"A. Miller","A. Hendy",,17989,J.-S.,Bao,J.B.,Jago,,2000,"Late Late Cambrian trilobites from near Birch Inlet, south-western Tasmania",Palaeontology,43,5,881,917,"2006-07-17 05:52:45",20060717055245,"journal article",,,
"W. Kiessling","U. Merkel",,18022,E.,Egerquist,,,,2003,"New brachiopods from the Lower-Middle Ordovician (Billingen-Volkhov stages) of the East Baltic","Acta Palaeontologica Polonica",48,1,31,38,"2006-07-19 00:51:00",20060719005100,"journal article",,,
"A. Miller","A. Hendy",,18173,L.R.M.,Cocks,R.A.,Cooper,,2004,"Late Ordovician (Hirnantian) shelly fossils from New Zealand and their significance","New Zealand Journal of Geology and Geophysics",47,,71,80,"2006-08-05 04:13:09",20060805041309,"journal article",,,
"A. Miller","A. Hendy",,18179,R.A.,Cooper,,,,1979,"Ordovician Geology and Graptolite faunas of the Aorangi Mine area, North-west Nelson, New Zealand","New Zealand Geological Survey Paleontological Bulletin",47,,,,"2006-08-07 21:05:56",20060807210556,"serial monograph",,,
"P. Novack-Gottshall","P. Novack-Gottshall",,18186,P.M.,Novack-Gottshall,A.I.,Miller,,2003,"Taxonomic richness and abundance of Late Ordovician gastropods and bivalves in mollusc-rich strata of the Cincinnati Arch",Palaios,18,,559,571,"2006-08-08 13:30:38",20060808133038,"journal article","Presents only molluscan data. Entire data available in unpublished thesis (Novack-Gottshall 1999).",,
"P. Novack-Gottshall","P. Novack-Gottshall","P. Novack-Gottshall",18187,P.M.,Novack-Gottshall,,,,1999,"Comparative geographic and environmental diversity dynamics of gastropods and bivalves during the Ordovician Radiation (M.S. thesis, University of Cincinnati)",,,,1,191,"2006-08-08 13:33:07",20060808172000,"M.S. thesis","Department of Geology, Advisor: A.I. Miller",,
"W. Kiessling","U. Merkel",,18202,"U. S.",Kapp,,,,1975,"Paleoecology of Middle Ordovician stromatoporoid mounds in Vermont",Lethaia,8,,195,207,"2006-08-10 07:06:47",20060810070647,"journal article",,,
"W. Kiessling","U. Merkel",,18204,"U. S.",Kapp,"C. W.",Stearn,,1975,"Stromatoporoids of the Chazy Group (Middle Ordovician), Lake Champlain, Vermont and New York","Journal of Paleontology",49,1,163,186,"2006-08-11 00:22:03",20060811002211,"journal article",,,
"A. Miller","A. Miller","A. Miller",18329,"L. F.",Hintze,,,,1952,"Lower Ordovician trilobites from western Utah and eastern Nevadea","Utah Geological and Mineralogical Survey Bulletin",48,,"249 p.",,"2006-08-21 12:24:25",20060823121543,"serial monograph","This contains bed-by-bed faunal lists for the classic measured sections in Hintze 1951. Despite the title, the lists are not limited to trilobites, although the systematic section is limited to trilobites. The faunal lists repeat those in Hintze 1951, except that trilobite taxonomy has been updated, so these will be used in lieu of Hintze 1951 for the sections in question. Hintze 1951 will be the source of additional collection information, including lithology and geography.",,
"A. Miller","A. Miller",,18349,L.F.,Hintze,,,,1951,"Lower Ordovician detailed stratigraphic sections for western Utah","Utah Geological and Mineralogical Survey Bulletin",39,,"99 p.",,"2006-08-23 12:19:50",20060823121950,"serial monograph","For data entry, this is a companion to Hintze 1952 and provides details on the measured sections. This publication includes the same faunal lists provided by Hintze 1952, except that the 1952 lists are based on a more detailed and updated taxonomic treatment of trilobites. So, the faunal lists will be taken from the 1952 monograph, instead of this publication. ",,
"A. Miller","A. Hendy","A. Hendy",18428,S.K.,Swarko,,,,1962,"Graptolites of Cobb River-Mount Arthur Area, North-West Nelson, New Zealand","Transactions of the Royal Society of New Zealand",1,15,215,247,"2006-08-28 03:26:57",20060828060425,"journal article",,1%,19460
"W. Kiessling","U. Merkel",,18464,"J. R.",Paterson,"J. R.",Laurie,,2004,"Late Cambrian trilobites from the Dolodrook River limestones, eastern Victoria, Australia","Memoirs of the Association of Australasian Palaeontologists",30,,83,111,"2006-08-30 02:44:03",20060830024524,"journal article",,,
"W. Kiessling","U. Merkel",,18466,"M. J.",Engelbretsen,,,,2004,"Cambrian paterinid brachiopods from the Dolodrook River limestones, eastern Victoria, Australia","Memoirs of the Association of Australasian Palaeontologists",30,,145,152,"2006-08-30 05:07:50",20060830050750,"journal article",,,
"P. Wagner","P. Wagner",,18539,R.-B.,Zhan,J.,Jin,,2005,"Brachiopods from the Dashaba Formation (Middle Ordovician) of Sichuan Province, south-west China","Special Papers in Palaeontology",74,,1,63,"2006-09-04 12:42:32",20060904124303,"journal article",,,
"A. Miller","A. Hendy","A. Hendy",18625,A.R.,Palmer,,,,1968,"Cambrian trilobites of East-Central Alaska","United States Geological Survey Professional Paper",559,B,,,"2006-09-09 15:55:16",20060914091523,"serial monograph",,1%,18640
"S. Holland","S. Holland",,18629,M.,Ruta,P.A.,Jell,,1999,"Protocytidium Gen. Nov., a new anomalocystitid mitrate from the Victorian latest Ordovician and evolution of the Allanicytidiidae","Memoirs of the Queensland Museum",43,1,353,376,"2006-09-10 08:48:46",20060910084846,"journal article",,1%,1140
"S. Holland","S. Holland",,18630,W.T.,Dean,,,,1983,"Additional faunal data for the Bedinan Formation (Ordovician) of south-eastern Turkey","Special Papers in Palaeontology",30,,89,105,"2006-09-10 09:45:39",20060910094539,"serial monograph",,1%,10480
"S. Peters","S. Peters",,18641,E.,Landing,S.R.,Westrop,,2006,"LOWER ORDOVICIAN FAUNAS, STRATIGRAPHY, AND SEA-LEVEL HISTORY OF THE MIDDLE BEEKMANTOWN GROUP, NORTHEASTERN NEW YORK","Journal of Paleontology",80,5,958,980,"2006-09-10 18:01:28",20060910180136,"journal article",,,
"A. Hendy","A. Hendy",,18689,E.E.,Brabb,,,,1967,"Stratigraphy of the Cambrian-Ordovician Rocks of East-Central Alaska","United States Geological Survey Professional Paper",559,A,,,"2006-09-14 09:12:02",20060914091202,"serial monograph","Part of series, including Palmer (1968) that form 1% Ref 18640. This publication provides lithostratigraphic and geographic data.",1%,18640
"W. Kiessling","U. Merkel","J. Alroy",18957,"J. L.",Benedetto,"P. A.",Carrasco,,2002,"Tremadoc (earliest Ordovician) brachiopods from Purmamarca and the Sierra de Mojotoro, Cordillera Oriental of northwestern Argentina",Géobios,35,,647,661,"2006-10-04 04:18:20",20061230141236,"journal article",,,
"W. Kiessling","U. Merkel",,18959,"L. E.",Holmer,G.,Biernat,,2002,"Lingulate brachiopods from Lower Ordovician (Tremadoc) chalcedonites, Holy Cross Mountains, Poland","Acta Palaeontologica Polonica",47,1,141,156,"2006-10-04 06:41:25",20061004064137,"journal article",,,
"W. Kiessling","U. Merkel",,18965,"M. F.",Tortello,"S. B.",Esteban,,2003,"Lower Ordovician stratigraphy and trilobite faunas from the southern Famatina Range, La Rioja, Argentina","Special Papers in Palaeontology",70,,213,239,"2006-10-05 06:55:01",20061005065501,"serial monograph",,,
"W. Kiessling","U. Merkel",,18966,S.,Peng,,,,1990,"New material of Songtaoia (Trilobita, Tremadoc) from Northwestern Hunan, China","Neues Jahrbuch für Geologie und Paläontologie, Abhandlungen",180,1,97,115,"2006-10-06 01:52:59",20061006015259,"journal article",,,
"W. Kiessling","U. Merkel",,19023,S.,Peng,,,,1990,"Tremadoc stratigraphy and trilobite faunas of northwestern Hunan. 1: Trilobites from the Nantsinkwan Formation of the Yangtze Platform",Beringeria,2,,3,53,"2006-10-17 06:34:07",20061017063425,"journal article",,,
"W. Kiessling","U. Merkel",,19026,"L. E.",Holmer,"L. E.",Popov,"M. Streng, J. F. Miller",2005,"Lower Ordovician (Tremadocian) lingulate brachiopods from the House and Fillmore Formations, Ibex area, Western Utah, USA","Journal of Paleontology",79,5,884,906,"2006-10-18 04:45:42",20061018044558,"journal article",,,
"W. Kiessling","U. Merkel",,19028,"D. L.",Bruton,"A. J.",Wright,"M. A. Hamedi",2004,"Ordovician Trilobites from Iran","Palaeontographica Abteilung A",271,5-6,111,149,"2006-10-19 02:03:54",20061019020354,"journal article",,,
"W. Kiessling","U. Merkel",,19030,"J. L.",Benedetto,N.,Cech,"C. Esbry",2003,"New Late Tremadoc-Early Arenig silicified brachiopods from the lower part of the San Juan Formation, Argentine Precordillera",Ameghiniana,40,4,513,530,"2006-10-20 02:39:12",20061020023945,"journal article",,,
"W. Kiessling","U. Merkel",,19056,"F. J.",Zeballo,"M. F.",Tortello,,2005,"Trilobites del Cambrico tardio-Ordovicico temprano del area de Alfarcito, Tilcara, Cordillera Oriental de Jujuy, Argentina [Late Cambrian-Early Ordovician trilobites from the Alfarcito area, Tilcara, Oriental Cordillera, Jujuy, Argentina]",Ameghiniana,42,1,127,142,"2006-10-25 00:20:12",20061025002012,"journal article",,,
"A. Hendy","A. Hendy","A. Hendy",19164,"N. J.",Morris,"R. A.",Fortey,,1976,"The significance of Tironucula gen. nov. to the study of bivalve evolution","Journal of Paleontology",50,4,701,709,"2006-11-12 12:26:45",20061112122844,"journal article",,,
"P. Wagner","P. Wagner",,19217,J.-Y.,Rong,B.,Jones,"F.W. Nentwich",1989,"Proconchidium from Late Ordovician strato of Brodeur Peninsula, Baffin Island, Arctic Canada","Journal of Paleontology",63,1,25,33,"2006-11-16 19:16:44",20061116191644,"journal article",,,
"J. Alroy","J. Alroy",,19925,"R. B.",Neuman,"D. E. B.",Bates,,1978,"Reassessment of Arenig and Llanvirn age (early Ordovician) brachiopods from Anglesey, north-west Wales",Palaeontology,21,3,571,613,"2007-02-18 14:22:45",20070218142245,"journal article",,,
"J. Alroy","J. Alroy",,19928,"D. L.",Lofgren,"B. E.",Scherer,"C. K. Clark, B. Standhardt",2005,"First record of Stygimys (Mammalia, Multituberculata, Eucosmodontidae) from the Paleocene (Puercan) part of the North Horn Formation, Utah, and a review of the genus","Journal of Mammalian Evolution",12,1/2,77,97,"2007-02-19 07:55:57",20070219075557,"journal article",,,
"S. Finnegan","S. Finnegan","S. Finnegan",19961,GE,Young,,,,1973,"An Ordovician (Arenigian) trilobite faunule of great diversity from the Ibex area, western Utah","Brigham Young University Geology Studies",20,4,91,115,"2007-02-22 17:29:07",20070222190507,"journal article",,,
"P. Wagner","P. Wagner",,19969,A.W.,Potter,,,,1990,"The Ordovician brachiopod genus Bimuria from the eastern Klamath Mountains, northern California","Journal of Paleontology",64,2,200,213,"2007-02-23 15:49:44",20070223154944,"journal article",,,
"J. Alroy","J. Alroy",,23331,"W. H.",Fritz,,,,1995,"Esmeraldina rowei and associated Lower Cambrian trilobites (1f fauna) at the base of Walcott's Waucoban Series, southern Great Basin, U.S.A.","Journal of Paleontology",69,4,708,723,"2007-02-26 21:33:31",20070226213331,"journal article",,,
